No,Business name,category,instaram,whatsapp,Valid point,website external
27,Cafe Ca Ma Cam,cafe,https://instagram.com/ca.ma.cam,08561011888,3,non existed
28,Kopi Kontrakan,cafe,https://instagram.com/kopikontrakan,087884686482,3,non existed
29,Tongkrongan Kopaja,cafe,https://instagram.com/tongkrongan_jkt,0895333978465,3,non existed
30,Caffeine Suite,cafe,https://instagram.com/caffeinesuite,08118888051,3,non existed
31,Kopi Tetangga Sebelah,cafe,https://instagram.com/tetanggasebelah.jkt,087832598880,3,non existed
32,ECO 8,cafe,https://instagram.com/eco8.jkt,081310008829,3,non existed
33,IGOR CITRA 6,restaurant,https://instagram.com/popular,081388108077,3,non existed
34,Waroenk Kito Taman Palem Lestari,restaurant,https://instagram.com/waroenk_kito,085107777641,3,non existed
35,Genki Sushi Citra 6,restaurant,https://instagram.com/genkisushiindonesia,081283847410,3,non existed
36,Seafood 52,restaurant,https://instagram.com/seafood52,081282085252,3,non existed
37,SEMATJAM di Citra 6,restaurant,https://instagram.com/sematjam_id,085721555501,3,non existed
38,Saung bambu cafe and resto,restaurant,https://instagram.com/saungbambu.cafeandresto,081318237502,3,non existed
39,Pesta Rasa Nusantara - Taman Palem,restaurant,https://instagram.com/pestarasanusantara,081210169150,3,non existed
40,Pondok sambal djudez,restaurant,https://instagram.com/pondok.sambal.djudez_palem,081585022292,3,non existed
41,Lesehan Kehed,restaurant,https://instagram.com/lesehan_elen,081285981901,3,non existed
42,BAKMIE SENCINPING,restaurant,https://instagram.com/bakmiesencinping,081998874434,3,non existed
43,Restoran Ikan chiyuba Taman Palem Lestari,restaurant,https://instagram.com/restoranikan.chiyuba.palem,085283256718,3,non existed
44,Ameng 'Medan Rasa' Chinese Food,restaurant,https://instagram.com/medanrasachinese,081218662115,3,non existed
45,"Totlah, Taman Palem Lestari",restaurant,https://instagram.com/totlah.id,081399230069,3,non existed
46,Saung Kita Daan Mogot,restaurant,https://instagram.com/saung.kita.id,081298800513,3,non existed
47,KFC Citra Garden 6,restaurant,https://instagram.com/cg6kfcku,08117157069,3,non existed
48,Eka Rasa,restaurant,https://instagram.com/ekarasarestaurant,089636754157,3,non existed
49,Renash Japanese Food,restaurant,https://instagram.com/popular,081314244810,3,non existed
50,Kampung Kecil Kedoya Puri Kembangan,restaurant,https://instagram.com/kampungkecil_official,0817118003,3,non existed
51,Nagabi Resto,restaurant,https://instagram.com/nagabiresto,082116171818,3,non existed
52,Lok-Lok Sultan,restaurant,https://instagram.com/sultan_lok,087884807555,3,non existed
53,Njonja Heritage,restaurant,https://instagram.com/njonjaheritage,08568867899,3,non existed
54,Cabe Bawang Citra 8,restaurant,https://instagram.com/cabebawangcb,085892809197,3,non existed
55,Tom Yam Sapo 37,restaurant,https://instagram.com/tomyam37,081281846010,3,non existed
56,Warung Mutia,restaurant,https://instagram.com/warung_mutiarahma,081384802025,3,non existed
57,Waroeng Pa Mo,restaurant,https://instagram.com/waroeng.pa.mo,082125109277,3,non existed
58,Rumah Makan MasMurni,restaurant,https://instagram.com/rm.masmurni_123,081317975928,3,non existed
59,Dapur Betawi JKT,restaurant,https://instagram.com/dapurbetawijkt,08881606236,3,non existed
60,Food Court Green Kitchen,restaurant,https://instagram.com/popular,08121311899,3,non existed
61,Rumah Makan Lesehan Berkah Jaya Lele Terbang,restaurant,https://instagram.com/restoleleterbang,087885318540,3,non existed
62,Saung Greenville,restaurant,https://instagram.com/saunggreenville,08119333233,3,non existed
63,Saoenk Kito Susilo,restaurant,https://instagram.com/saoenkkito_official,085107171790,3,non existed
64,Grand Marco Seafood,restaurant,https://instagram.com/seafoodmarco,085172131878,3,non existed
65,Little Red Dot - Central Park,restaurant,https://instagram.com/littlereddot.id,085282141202,3,non existed
66,Sushi Yay! - Green Garden,restaurant,https://instagram.com/popular,085183133472,3,non existed
67,Cafe Ca Ma Cam,restaurant,https://instagram.com/ca.ma.cam,08561011888,3,non existed
68,Warteg sari asih,restaurant,https://instagram.com/wartegsarirasa_,087768887667,3,non existed
69,BALLEBAT,restaurant,https://instagram.com/ballebatgroup,081370723780,3,non existed
70,Mangiamoo Bistro & Gelato,restaurant,https://instagram.com/mangiamoobistrogelato,08119563588,3,non existed
71,KFC Daan Mogot,restaurant,https://instagram.com/popular,08117157053,3,non existed
72,Reset Coffee - Green Garden,restaurant,https://instagram.com/resetwithcoffee,087821879887,3,non existed
73,Iseul Barbershop,barbershop,https://instagram.com/iseul_barbershop,08559994333,3,non existed
74,Beyond Premium Barbershop,barbershop,https://instagram.com/beyondbarbershop,082310287965,3,non existed
75,BAGUS BARBERSHOP cabang taman surya,barbershop,https://instagram.com/bagus.barbershop,081808522775,3,non existed
76,Barberhive,barbershop,https://instagram.com/barberhive,081806059090,3,non existed
77,Tux Barbershop Citra Garden,barbershop,https://instagram.com/tuxedobarber,081262971886,3,non existed
78,Boyzone Barbershop - Taman Surya,barbershop,https://instagram.com/boyzonebarbershop,081282167005,3,non existed
79,CROWN BARBER SHOP,barbershop,https://instagram.com/crownbarber,081394399888,3,non existed
80,BAGUS BARBERSHOP cabang menceng,barbershop,https://instagram.com/bagus.barbershop,081227206963,3,non existed
81,IRASAI BARBERSHOP ( Siau Ing Music ),barbershop,https://instagram.com/popular,081314930731,3,non existed
82,Camps & Co Barbershop,barbershop,https://instagram.com/campsbarbershop,081330094303,3,non existed
83,Jthebarber Barbershop Citra Garden 2,barbershop,https://instagram.com/captainbarbershopid,081265191722,3,non existed
84,Gunting Ganteng Barbershop,barbershop,https://instagram.com/guntinggantengbarbershop,087888333951,3,non existed
85,Captain Barbershop Daan Mogot,barbershop,https://instagram.com/captainbarbershopid,082123161872,3,non existed
86,D'Mens Barbershop Taman Palem,barbershop,https://instagram.com/dmensbarber,082191002012,3,non existed
87,Barbershop The Kush,barbershop,https://instagram.com/kush.barbershop,089652951151,3,non existed
88,Neshia BARBERSHOP,barbershop,https://instagram.com/popular,087877907210,3,non existed
89,"""Pangkas Bukan Barbershop""",barbershop,https://instagram.com/popular,08978218166,3,non existed
90,Top One Barbershop,barbershop,https://instagram.com/popular,085715079029,3,non existed
91,BARBERTOPIA CITRA 8,barbershop,https://instagram.com/barbertopia.citra8,081319412197,3,non existed
92,Depan Cermin Barbershop,barbershop,https://instagram.com/depancerminbarbershop,081110135505,3,non existed
93,HSA Barbershop,barbershop,https://instagram.com/popular,087780851528,3,non existed
94,El Patron Barbershop,barbershop,https://instagram.com/elpatron.8arbershop,081338382909,3,non existed
95,New-Big BOS BARBERSHOP,barbershop,https://instagram.com/bigbossbarbers.id,085219161302,3,non existed
96,Dzibran Barbershop 1 Rawa Lele,barbershop,https://instagram.com/dzibranbarbershop,085776152318,3,non existed
97,AVA Barbershop,barbershop,https://instagram.com/ava.barbershop,083897093838,3,non existed
98,Suki Barbershop,barbershop,https://instagram.com/sukibarbershop.id,089685106662,3,non existed
99,de' NATHAN BARBERSHOP,barbershop,https://instagram.com/nathan.barbershop,081299353535,3,non existed
100,Suki Barbershop,barbershop,https://instagram.com/sukibarbershop.id,089685106662,3,non existed
101,BALI Barbershop,barbershop,https://instagram.com/thebalibarbershop,081776493939,3,non existed
102,K-one Barbershop,barbershop,https://instagram.com/popular,089630149358,3,non existed
103,MaxDon Barbershop,barbershop,https://instagram.com/barbershop_maxdon,082239898027,3,non existed
104,Cutlah Barbershop,barbershop,https://instagram.com/cutlah.id,087877897778,3,non existed
105,Twomore Barbershop,barbershop,https://instagram.com/twomore_barbershop,087837120249,3,non existed
106,Panglima Barbershop,barbershop,https://instagram.com/panglima_barbeshop,0895327943181,3,non existed
107,FI Barbershop City Resort,barbershop,https://instagram.com/fi.barbershop,085709079190,3,non existed
108,Sheriff Barbershop,barbershop,https://instagram.com/sheriffbarbershop,08562979021,3,non existed
109,FI Barbershop Semanan 2,barbershop,https://instagram.com/fi.barbershop,085709079190,3,non existed
110,Abad versi Barbershop1,barbershop,https://instagram.com/abad_versi.barbershop,085692313509,3,non existed
111,Top Boy barbershop,barbershop,https://instagram.com/popular,081293892673,3,non existed
112,Barber Shop Satria,barbershop,https://instagram.com/satria_jakbar,083857681327,3,non existed
113,Imi Barbershop Cabang Duri Kosambi,barbershop,https://instagram.com/imibarbershop,081384852636,3,non existed
114,FIYU BARBERSHOP,barbershop,https://instagram.com/fiu_barbershop,085789041981,3,non existed
115,Son's Barbershop,barbershop,https://instagram.com/barberandbeyond.id,082167898677,3,non existed
116,KULMN BARBERSHOP SEMANAN,barbershop,https://instagram.com/kulmn_barbers,0895411871843,3,non existed
117,TRUTH BARBERSHOP,barbershop,https://instagram.com/truth_barbershop,08988084546,3,non existed
118,Barbershop Terdekat,barbershop,https://instagram.com/popular,085707233277,3,non existed
119,Barbershop Lamone,barbershop,https://instagram.com/lamone.barber,082125995993,3,non existed
120,Bow Barbershop Jelambar,barbershop,https://instagram.com/bowbarbershop.jelambar,081286002298,3,non existed
121,Pangkas Rambut Favorit Barbershop,barbershop,https://instagram.com/popular,081317660008,3,non existed
122,Double R barbershop,barbershop,https://instagram.com/double_r_barbershop,083124868919,3,non existed
123,J Cuts Barbershop Jelambar,barbershop,https://instagram.com/jcuts.id,081770707077,3,non existed
124,Maximus Barbershop And Coffee,barbershop,https://instagram.com/maximusbarbershopandcoffee,081617229999,3,non existed
125,BLOC BARBER,barbershop,https://instagram.com/blocbarber.id,08119000208,3,non existed
126,Reffel Professional Salon,salon,https://instagram.com/reffelsalon,08118988024,3,non existed
127,New Jeonju salon,salon,https://instagram.com/jeonjuhairstudio,082188887810,3,non existed
128,eicH Salon Citra Garden 6,salon,https://instagram.com/popular,082277778699,3,non existed
129,D'MOZE Salon Taman Palem,salon,https://instagram.com/dmoze_jakarta,082310022707,3,non existed
130,Mk Japanese Spa Citra 6,salon,https://instagram.com/popular,081266366887,3,non existed
131,Apple Love Salon,salon,https://instagram.com/applelovesalon.official,085283830822,3,non existed
132,Jeonju Hair Studio Citra 6,salon,https://instagram.com/jeonjuhairstudio,082188887810,3,non existed
133,Vianney Beauty Salon,salon,https://instagram.com/vianneyblossom_salon,082123070501,3,non existed
134,VB Hair and Beauty Salon,salon,https://instagram.com/vb.salon.jkt,089694008900,3,non existed
135,Linda Salon,salon,https://instagram.com/sallon.linda,085101660035,3,non existed
136,Luxury lash&nail,salon,https://instagram.com/louilashlift,081275438899,3,non existed
137,Salon Blow Me Taman Surya (Taman Palem),salon,https://instagram.com/blowmesalon,087754372977,3,non existed
138,Navvi Beauty Studio,salon,https://instagram.com/navvistudio,087847437788,3,non existed
139,"Angel Salon, Tegal Alur",salon,https://instagram.com/popular,081290788434,3,non existed
140,De Cut's Hair Beauty Salon by Quanto Dayspa,salon,https://instagram.com/decutscitragarden2extension,085792268095,3,non existed
141,Meteor Salon,salon,https://instagram.com/popular,081317173200,3,non existed
142,Senja Wellness & Beauty Bar,salon,https://instagram.com/senjawellness,085283270488,3,non existed
143,MUTIARA SALON,salon,https://instagram.com/mutiarasalon2,089678927457,3,non existed
144,B Studio Hair & Beauty Salon,salon,https://instagram.com/studio_b_hairsalon,08176540811,3,non existed
145,ARIEL SALON,salon,https://instagram.com/salon_ariel,081319929017,3,non existed
146,Longlash studio kalideres,salon,https://instagram.com/longlash.official,081373319969,3,non existed
147,Maple Leaf Salon + Spa,salon,https://instagram.com/maple_salon,08158888983,3,non existed
148,E' ve Salon and Nail,salon,https://instagram.com/eve_salon321,0895414333713,3,non existed
149,Lilyang Salon,salon,https://instagram.com/salon_de_lyon_felix,081806489175,3,non existed
150,Everlashthing Citra 6,salon,https://instagram.com/popular,085755655683,3,non existed
151,Eldora Salon,salon,https://instagram.com/salon_eldora,081316279365,3,non existed
152,sibling beauty,salon,https://instagram.com/_siblingbeauty,087711999096,3,non existed
153,ROSE🌹SALON,salon,https://instagram.com/rosesalon_25,087744080093,3,non existed
154,Metty salon,salon,https://instagram.com/mettysalon_and_bridal,081289267441,3,non existed
155,Ko2h Salon,salon,https://instagram.com/popular,08568055041,3,non existed
156,Lienata Beauty Care,salon,https://instagram.com/liena_beautysalon_jakartabarat,081212907777,3,non existed
157,Oui Beauty Lounge,salon,https://instagram.com/ouibeautylounge,087888839003,3,non existed
158,Shimooka Salon Mutiara Taman Palem,salon,https://instagram.com/shimookasalon,08111027706,3,non existed
159,Regina Hair & Beauty Salon,salon,https://instagram.com/reginasalon.beauty,08131814668,3,non existed
160,Salon San San 2,salon,https://instagram.com/salon_san_,082210806060,3,non existed
161,Iwan Salon ( Giok Andre Team ),salon,https://instagram.com/irwanteamhairdesign,082122225727,3,non existed
162,Mawar Salon,salon,https://instagram.com/maway_salon,088289094617,3,non existed
163,A & S salon and spa,salon,https://instagram.com/popular,081219557770,3,non existed
164,Ocha Salon,salon,https://instagram.com/ochasalon96,082271561578,3,non existed
165,Tatee Salon & Makeup Gallery,salon,https://instagram.com/tatee.salon,082277281953,3,non existed
166,Firza beauty salon,salon,https://instagram.com/firzabeautycare,085892966548,3,non existed
167,Dwiky salon. Hair & beauty,salon,https://instagram.com/divaz_salon,089637071509,3,non existed
168,Fafa Salon,salon,https://instagram.com/fafa_salon,081386427008,3,non existed
169,PINK SALON,salon,https://instagram.com/pinkparlourid,087883872999,3,non existed
170,MY BEAUTE STUDIO & SUPPLIES,salon,https://instagram.com/mybeaute.studio,085174340021,3,non existed
171,Marelda Hair and Beauty Salon,salon,https://instagram.com/popular,083806946790,3,non existed
172,Salon San San 1,salon,https://instagram.com/billysansalon,082299502149,3,non existed
173,JJ Salon Cengkareng,salon,https://instagram.com/divaz_salon,085310054428,3,non existed
174,Queen Salon,salon,https://instagram.com/queen.care.id,087808493988,3,non existed
175,D'MOZE Salon Tanjung Duren,salon,https://instagram.com/dmoze_jakarta,085101171701,3,non existed
176,Makeup Hairdo Raves Salon,salon,https://instagram.com/salon_nya_si_kriss,082123080152,3,non existed
177,AGATHA SALON PALEM,salon,https://instagram.com/agathasalon.palem,082229915162,3,non existed
178,Yola salon,salon,https://instagram.com/yola.salon,081310558330,3,non existed
179,REFFEL Salon - Dutamas,salon,https://instagram.com/reffelsalon,08111688026,3,non existed
180,ERNA SALON,salon,https://instagram.com/erna_salon,0895404675773,3,non existed
181,Astri Salon,salon,https://instagram.com/astribeautysalon,081314110902,3,non existed
182,Praktek dr. Yustini,klinik,https://instagram.com/praktek_dr.jatiyuli,081280456625,3,non existed
183,Jiang Clinic,klinik,https://instagram.com/jiangclinic,08119142277,3,non existed
184,Ck Beauty Clinic,klinik,https://instagram.com/ckbeautyclinic_,081290002275,3,non existed
185,Perawatan Kulit Wajah,klinik,https://instagram.com/popular,081289864046,3,non existed
186,SZAN Clinic - Cengkareng,klinik,https://instagram.com/szanclinic,087884589722,3,non existed
187,KLINIK PERMATA ADINDA PALEM LESTARI,klinik,https://instagram.com/klinikpermataadinda,082125925345,3,non existed
188,SANNA Aesthetic Clinic,klinik,https://instagram.com/sannaaesthetic_,087770000871,3,non existed
189,Cherish dental care,klinik,https://instagram.com/cherish_dental_care,087887700077,3,non existed
190,Kusuma Beauty Clinic Puri Indah,klinik,https://instagram.com/kusumabeauty_puri,082298888635,3,non existed
191,HAYANI MEDIKA AND AESTHETIC CENTER,klinik,https://instagram.com/hayanimedika_aesthetic,081213888746,3,non existed
192,Klinik Kecantikan Dr. Yenny,klinik,https://instagram.com/dr.yenny,083838894057,3,non existed
193,sibling beauty,klinik,https://instagram.com/_siblingbeauty,087711999096,3,non existed
194,Catra Skin Clinic,klinik,https://instagram.com/catraclinic,081380899961,3,non existed
195,MEDIKITA Klinik & Apotek,klinik,https://instagram.com/medikitamedikita,085714334342,3,non existed
196,dR. HEN Clinic Jakarta Barat (Kebon Jeruk),klinik,https://instagram.com/dr.henclinic_jakartabarat,081210001561,3,non existed
197,Akupuntur Steven Salim,klinik,https://instagram.com/stevensalim92,08161356932,3,non existed
198,Ariesta Dental Care Citra Garden 6,klinik,https://instagram.com/ariestadentalcare,082288881223,3,non existed
199,Nailash Studio and Academy,klinik,https://instagram.com/cynthia_nailash,081295303616,3,non existed
200,Vez Aesthetic Clinic,klinik,https://instagram.com/vezclinic,081283571774,3,non existed
201,Angels Beauty,klinik,https://instagram.com/popular,08121932884,3,non existed
202,Devone Clinic: Aesthetic & Anti Aging Specialist Jakarta Barat,klinik,https://instagram.com/devoneclinic,085888962226,3,non existed
203,Dermio,klinik,https://instagram.com/dermio.idn,0817891139,3,non existed
204,GLOWTECH Clinic Jakarta Barat,klinik,https://instagram.com/glowtech_jakartabarat,081210001561,3,non existed
205,London Beauty Centre Green Mansion,klinik,https://instagram.com/londonbeautycentre,08886857955,3,non existed
206,Klinik Kecantikan Jakarta Barat | YUA MEDICAL AESTHETIC CLINIC,klinik,https://instagram.com/popular,08563206777,3,non existed
207,Klinik Basmol,klinik,https://instagram.com/usganggrekmas,081231145612,3,non existed
208,Dermies Mal Ciputra Jakarta,klinik,https://instagram.com/dermiesmax,08132055728,3,non existed
209,Youth Skin by dr. Susilawaty,klinik,https://instagram.com/dokter_susilawaty,081574261779,3,non existed
210,LVIORS LiA,klinik,https://instagram.com/lviors_official,082298876006,3,non existed
211,Bengkel mobil BARI (bodi repairs & paint),bengkel,https://instagram.com/bodyrepair_jakbar,081283006666,3,non existed
212,Montir Mobil Panggilan 24 Jam,bengkel,https://instagram.com/bengkel_mobil_panggilan24jam,085772632492,3,non existed
213,Bengkel Monza Auto Service,bengkel,https://instagram.com/monzautoservice,081907051407,3,non existed
214,Edira Jaya,bengkel,https://instagram.com/edirajaya_autoservice,081381223304,3,non existed
215,Bengkel panggilan 24 jam jakarta,bengkel,https://instagram.com/bengkel.panggilan.24.jam,083899354334,3,non existed
216,"Bengkel mobil panggilan jaya teknik mobil tegal alur ,jakarta barat",bengkel,https://instagram.com/bengkeljayateknik,0881011593833,3,non existed
217,Bengkel Mobil Bintang Jaya,bengkel,https://instagram.com/popular,089654782444,3,non existed
218,Bengkel Mobil Berkah Jaya Bodi Repair,bengkel,https://instagram.com/bengkelmobilberkah,081290163443,3,non existed
219,Bengkel Permata Motor,bengkel,https://instagram.com/popular,081286692468,3,non existed
220,Bengkel Mobil Joyo Langgeng,bengkel,https://instagram.com/popular,081218283039,3,non existed
221,AD Autocare | Bengkel mobil,bengkel,https://instagram.com/popular,082213897854,3,non existed
222,Player Velg N Ban Jakarta Barat,bengkel,https://instagram.com/playervelgnbanjakartabarat,081181140792,3,non existed
223,AB JAYA BATTERY,bengkel,https://instagram.com/bengkelmutiarajaya,081288121190,3,non existed
224,Glory Jaya Motor - Bengkel Sepeda Motor,bengkel,https://instagram.com/gloryjayamotor.official,083199344799,3,non existed
225,Bengkel mobil MasRidwan,bengkel,https://instagram.com/popular,081284717389,3,non existed
226,Bengkel Mobil Nissan Datsun Cak Min,bengkel,https://instagram.com/nissan_pos_pengumben,08989115411,3,non existed
227,Abadi Jaya Motor (Bengkel Aris),bengkel,https://instagram.com/ajm.store.jakarta,081387917116,3,non existed
228,MAX AUTOCAR - Paint & Body Repair (Bengkel Mobil),bengkel,https://instagram.com/maxautocar,08129596998,3,non existed
229,"Motoquick - Taman Surya, Jakarta Barat",bengkel,https://instagram.com/motoquick.jakarta,082226662052,3,non existed
230,GROGOL MOTOR NIAGA ( Bengkel Mobil & Spare Part),bengkel,https://instagram.com/jnsbodyrepair,081384138053,3,non existed
231,Lesti motor,bengkel,https://instagram.com/popular,083899066272,3,non existed
232,BRIZMO Bengkel Mobil Injeksi Umum dan Nissan Datsun,bengkel,https://instagram.com/sni_japan,081807397240,3,non existed
233,DIXZELL JAYA MOTOR,bengkel,https://instagram.com/dixzelljayamotor,0811172659,3,non existed
234,"Bengkel mobil panggilan semanan, cipondoh, karang tengah, cengkareng",bengkel,https://instagram.com/carfixkarangtengah,083861326302,3,non existed
235,Bengkel Mobil Rawa Kramat,bengkel,https://instagram.com/popular,085884911195,3,non existed
236,Bengkel CB RRM SPEED,bengkel,https://instagram.com/r_speedgarage,085888520003,3,non existed
237,GROGOL MOTOR PESAKIH ( Bengkel Mobil & Sparepart ),bengkel,https://instagram.com/bengkelmutiarajaya,087880007421,3,non existed
238,Yus garage,bengkel,https://instagram.com/yus_garage,0818119392,3,non existed
239,CBU Motoshop,bengkel,https://instagram.com/popular,085693487645,3,non existed
240,Resking garage,bengkel,https://instagram.com/rickypunkping,085158299844,3,non existed
241,Bengkel mobil sapta motor,bengkel,https://instagram.com/popular,089601063455,3,non existed
242,YUDI JAYA AUTO,bengkel,https://instagram.com/bengkelbarokahjaya,081296183144,3,non existed
243,Bengkel Mobil BOS Kavling DKI,bengkel,https://instagram.com/bengkelbos,085213015895,3,non existed
244,Kolay montir panggilan,bengkel,https://instagram.com/bengkel_mobil_panggilan24jam,081311304953,3,non existed
245,BENGKEL MOBIL ALIEN,bengkel,https://instagram.com/popular,082210262768,3,non existed
246,Jaya Mega Audio,bengkel,https://instagram.com/megaaudio_jakarta,081384846435,3,non existed
247,Bengkel Mobil Bang Ahmad,bengkel,https://instagram.com/popular,081380529420,3,non existed
248,Bengkel knalpot kms,bengkel,https://instagram.com/bengkel.kms,081310896116,3,non existed
249,Montir Panggilan,bengkel,https://instagram.com/popular,081315763747,3,non existed
250,Bengkel honda kencana abadi motor 1,bengkel,https://instagram.com/ahass15529,081510183007,3,non existed
251,BENGKEL MOTOR SERIKAT,bengkel,https://instagram.com/popular,081288899738,3,non existed
252,GROGOL MOTOR AUTOMATIC (Bengkel Mobil Porsnelling Automatic),bengkel,https://instagram.com/mechanicpro.id,081318389415,3,non existed
253,Bengkel Mobil Dan's auto Garage,bengkel,https://instagram.com/popular,081387121123,3,non existed
254,Bengkel Mobil Cahaya Motor,bengkel,https://instagram.com/bengkel_cahaya_motor,081210482468,3,non existed
255,Bengkel Mobil Online Jakarta Barat,bengkel,https://instagram.com/popular,089670870822,3,non existed
256,Kosambi Jaya Mobil,bengkel,https://instagram.com/bengkelmobilvaria2000,087884074968,3,non existed
257,"Bengkel Mobil PRATAMA MANDIRI (body repair,cat,modifikasi&aksesoris)",bengkel,https://instagram.com/popular,081319880311,3,non existed
258,"Bengkel Mobil ""MAS'UD JAYA"" (las ketok & cat duco)",bengkel,https://instagram.com/bengkel_cat_mobil_jakarta,081310526123,3,non existed
259,Bengkel Jaya Mobil,bengkel,https://instagram.com/bengkelmutiarajaya,089686323527,3,non existed
260,CITRA SEPEDA,bengkel,https://instagram.com/olshop_sepeda_citra,083139170878,3,non existed
261,Widodo Bengkel Mobil,bengkel,https://instagram.com/widodo_bengkel,085215962112,3,non existed
262,Bengkel mobil umum,bengkel,https://instagram.com/popular,085692427937,3,non existed
263,Bengkel mobil gaweng,bengkel,https://instagram.com/popular,089514575569,3,non existed
264,Mizu Laundry,laundry,https://instagram.com/mizulaundry,081399779564,3,non existed
265,Permata laundry,laundry,https://instagram.com/permatalondry_,085211509596,3,non existed
266,Jakarta Coin Laundry,laundry,https://instagram.com/jakartacoinlaundry_,087785172996,3,non existed
267,Kato Laundry Taman Palem,laundry,https://instagram.com/katolaundry,085923227111,3,non existed
268,Randory laundry kilo jakarta barat,laundry,https://instagram.com/laundryklinplus,082211139872,3,non existed
269,Casto Laundry dan Treatment,laundry,https://instagram.com/popular,081250004527,3,non existed
270,King-Kong Wash Citra 6,laundry,https://instagram.com/brainwash_laundry,085156469938,3,non existed
271,Yellobee Laundry Pasar Laris Palm Paradise,laundry,https://instagram.com/yellobee.jkt,085891277723,3,non existed
272,Blessing Laundry Express,laundry,https://instagram.com/laundry_blessing,087776600230,3,non existed
273,My Laundry,laundry,https://instagram.com/laundryklinplus,085697331288,3,non existed
274,Get Kleen Laundry,laundry,https://instagram.com/kleenlaundry,08179755888,3,non existed
275,Bless Laundry Menceng,laundry,https://instagram.com/laundry.bless,081316167745,3,non existed
276,SuperFast LAUNDRY,laundry,https://instagram.com/popular,081952520790,3,non existed
277,My Home Laundry,laundry,https://instagram.com/myhomelaundry.jakarta,08128906020,3,non existed
278,Cemara Laundry Cuci & Gosok,laundry,https://instagram.com/laundry_jakarta_barat,089636151917,3,non existed
279,Permata Laundry Dry & Cleaning,laundry,https://instagram.com/permatalaundrywash,081382363293,3,non existed
280,VICTORY LAUNDRY EXPRESS,laundry,https://instagram.com/victory_laundrymetro,087776600230,3,non existed
281,Ting Tong Laundry Menceng,laundry,https://instagram.com/laundry_jakarta_barat,085283246800,3,non existed
282,Laundry Syariah,laundry,https://instagram.com/brainwash_laundry,087782404706,3,non existed
283,Bong Laundry,laundry,https://instagram.com/laundry_jakarta_barat,089651608181,3,non existed
284,Ok Laundry,laundry,https://instagram.com/laundryklinplus,081389795778,3,non existed
285,Blueberry Laundry,laundry,https://instagram.com/blueberrylaundry,087791122529,3,non existed
286,Faith Laundry Express,laundry,https://instagram.com/laundryklinplus,087776600230,3,non existed
287,d'Zahr Laundry,laundry,https://instagram.com/laundry_jakarta_barat,08179854195,3,non existed
288,One Laundry,laundry,https://instagram.com/laundryklinplus,082123788832,3,non existed
289,OSI Laundry,laundry,https://instagram.com/laundry_jakarta_barat,081905528509,3,non existed
290,Jemmy laundry,laundry,https://instagram.com/jemmylaundry,0895330029224,3,non existed
291,Mira Laundry,laundry,https://instagram.com/miralaundry_,081314780078,3,non existed
292,Aero Fresh Laundry,laundry,https://instagram.com/laundryklinplus,081290905724,3,non existed
