No,Business name,category,instaram,whatsapp,Valid point,website external
1,TOMORO COFFEE - Citra 6,cafe,https://instagram.com/tomorocoffee.id,081119272103,3,non existed
2,SAGA Coffee,cafe,https://instagram.com/saga_coffee_,082164277277,3,non existed
3,ARAH Coffee Citra 7,cafe,https://instagram.com/popular,081128512545,3,non existed
4,Kopi Konnichiwa Citra 6,cafe,https://instagram.com/kopikonnichiwa,081290810368,3,non existed
5,Seberang Senja Coffee & Eatery,cafe,https://instagram.com/seberangsenjacoffee,082223210708,3,non existed
6,Cafe Clabing,cafe,https://instagram.com/popular,085718186954,3,non existed
7,SEMATJAM di Citra 6,cafe,https://instagram.com/sematjam_id,085721555501,3,non existed
8,Polly Cafe Sunset Avenue,cafe,https://instagram.com/polly.cafe,081291994192,3,non existed
9,Tipika micro Roastery,cafe,https://instagram.com/tipika.micro.roastery,08989900046,3,non existed
10,Backdoor x PatBingSoo Next Level,cafe,https://instagram.com/popular,087749528886,3,non existed
11,YOEEH COFFEE ROASTERY,cafe,https://instagram.com/yoeehcoffeeroastery,085161219010,3,non existed
12,Joy Listening Space Coffee Tea Smoothie,cafe,https://instagram.com/joylisteningspace,08170040653,3,non existed
13,Green Fox Kalideres (Coffee•Kitchen•Gelato),cafe,https://instagram.com/popular,082312357324,3,non existed
14,black nektar kedai,cafe,https://instagram.com/black_nektar_coffee,081382130075,3,non existed
15,Kopi Leku Apartemen Sky Terrace,cafe,https://instagram.com/kopileku,081808192663,3,non existed
16,COLUMN; Rooftop Cafe,cafe,https://instagram.com/column.rooftop,081292609364,3,non existed
17,Warmindo Nongkrong Wareg (NW),cafe,https://instagram.com/warmindo.pw,081213800908,3,non existed
18,Cafe Siang Malam 7 (24JAM),cafe,https://instagram.com/csm_24jam,085710504497,3,non existed
19,Pros coffe,cafe,https://instagram.com/pros_coffee,081334885203,3,non existed
20,Kungfu Ice Cream,cafe,https://instagram.com/luuca.idn,081257222218,3,non existed
21,Reset Coffee - Green Garden,cafe,https://instagram.com/resetwithcoffee,087821879887,3,non existed
22,Cofee & cho,cafe,https://instagram.com/popular,081210460963,3,non existed
23,KFC Citra Garden 6,cafe,https://instagram.com/cg6kfcku,08117157069,3,non existed
24,Sudutsatu Cafe,cafe,https://instagram.com/sudutsatu,085893421421,3,non existed
25,Tanatap Coffee Meruya,cafe,https://instagram.com/popular,081292632172,3,non existed
26,Temanta Meruya,cafe,https://instagram.com/temanta.meruya,085175122087,3,non existed
